Scientific Name,Common Name,Medicinal Uses,Category,Part Used,How it is used,How the plant works in the body,Toxicity/Side Effects,Image Path
Aloe vera,Aloevera,"Heals wounds, soothes burns, treats skin issues",Skin-related,Leaves,Gel applied topically,"Anti-inflammatory, antimicrobial",Mild laxative effect if consumed in excess,images/aloevera.jpg
Phyllanthus emblica,Amla,"Boosts immunity, improves digestion, good for skin","Respiratory, Digestive, Skin-related",Fruit,"Eaten raw, juice, powder","Rich in Vitamin C, antioxidant",May lower blood sugar levels,images/amla.jpg
Tinospora cordifolia,Amruthaballi,"Enhances immunity, treats respiratory issues",Respiratory,Stem,"Decoction, powder","Immunomodulatory, anti-inflammatory",May cause constipation,images/amruthaballi.jpg
Nerium oleander,Arali,"Used in cardiac issues, but highly toxic",None (Toxic),"Leaves, Flowers",Traditional medicine (Caution),"Cardiotonic, but highly poisonous","Highly toxic, can be fatal",images/arali.jpg
Saraca asoca,Ashoka,"Helps in menstrual disorders, skin ailments",Skin-related,"Bark, Leaves","Decoction, paste","Anti-inflammatory, astringent",No major toxicity in normal doses,images/ashoka.jpg
Parthenium hysterophorus,Asthma Weed,"Treats respiratory issues, asthma relief",Respiratory,Leaves,"Inhalation, paste","Anti-allergic, bronchodilator",Can cause skin irritation,images/asthma_weed.jpg
Aristolochia indica,Badipala,"Used for snake bites, respiratory issues",Respiratory,"Leaves, Roots","Decoction, powder","Anti-inflammatory, expectorant",Toxic in large doses,images/badipala.jpg
Cardiospermum halicacabum,Balloon Vine,"Treats joint pain, skin disorders",Skin-related,"Leaves, Roots","Paste, decoction",Anti-inflammatory,No known toxicity,images/balloon_vine.jpg
Bambusa spp.,Bamboo,"Supports digestion, respiratory health","Digestive, Respiratory","Shoots, Leaves","Consumed, decoction","Rich in fiber, antioxidants",None if prepared properly,images/bamboo.jpg
Phaseolus spp.,Beans,"Improves digestion, good for heart",Digestive,Seeds,"Cooked, raw","High in fiber, protein",None if cooked properly,images/beans.jpg
Piper betle,Betel,"Aids digestion, antiseptic properties",Digestive,Leaves,"Chewed, decoction","Carminative, antibacterial",Excessive use may cause cancer,images/betel.jpg
Bacopa monnieri,Bhrami,"Enhances memory, reduces stress","Respiratory, Skin-related",Leaves,"Juice, decoction","Neuroprotective, adaptogenic",May cause nausea in excess,images/bhrami.jpg
Eclipta prostrata,Bringaraja,"Improves liver health, hair growth",Skin-related,Leaves,"Juice, oil","Hepatoprotective, rejuvenating",No major toxicity,images/bringaraja.jpg
Cinnamomum camphora,Camphor,"Used in cold relief, skin treatment","Respiratory, Skin-related","Leaves, Bark","Oil, inhalation","Antiseptic, analgesic",Toxic if ingested in large amounts,images/camphor.jpg
Carissa carandas,Caricature,"Used in digestive disorders, improves immunity",Digestive,"Fruits, Leaves","Eaten raw, decoction","Antioxidant, carminative",No major toxicity,images/caricature.jpg
Ricinus communis,Castor,"Laxative, promotes hair growth","Digestive, Skin-related","Seeds, Oil","Oil application, consumption","Anti-inflammatory, detoxifying",Toxic if seeds are consumed raw,images/castor.jpg
Catharanthus roseus,Catharanthus,"Used in diabetes, cancer treatment",Digestive,"Leaves, Flowers","Decoction, extract","Anticancer, hypoglycemic",Toxic if consumed in excess,images/catharanthus.jpg
Cassia fistula,Chakte,"Treats constipation, skin disorders","Digestive, Skin-related","Bark, Fruit","Powder, decoction","Laxative, anti-inflammatory",Overuse can cause diarrhea,images/chakte.jpg
Capsicum annuum,Chilly,"Aids digestion, boosts metabolism",Digestive,Fruit,"Raw, powdered","Stimulates digestion, anti-inflammatory",May cause stomach irritation,images/chilly.jpg
Citrus medica,Citron Lime,"Treats digestive issues, boosts immunity","Digestive, Respiratory",Fruit,"Juice, raw","Rich in Vitamin C, carminative",May cause acidity,images/citron_lime.jpg
Coffea arabica,Coffee,"Improves alertness, aids digestion",Digestive,Seeds (Beans),Brewed as a drink,"Stimulant, antioxidant","May cause insomnia, acidity",images/coffee.jpg
Ruta graveolens,Common Rue (Naagdalli),"Treats digestive issues, respiratory ailments","Respiratory, Digestive",Leaves,"Tea, decoction","Antispasmodic, anti-inflammatory","Toxic in large doses, can cause skin irritation",images/common_rue.jpg
Coriandrum sativum,Coriander,"Aids digestion, improves skin health","Digestive, Skin-related","Leaves, Seeds","Raw, decoction, paste","Carminative, antioxidant",No major toxicity,images/coriander.jpg
Murraya koenigii,Curry,"Aids digestion, controls diabetes",Digestive,Leaves,"Raw, cooked, decoction","Antidiabetic, antioxidant",No major toxicity,images/curry.jpg
Plectranthus amboinicus,Doddpathre,"Treats cold, cough, improves digestion","Respiratory, Digestive",Leaves,"Juice, decoction","Antimicrobial, expectorant",No major toxicity,images/doddpathre.jpg
Moringa oleifera,Drumstick,"Boosts immunity, good for digestion and skin","Digestive, Skin-related","Leaves, Pods","Cooked, powder, decoction","Antioxidant, anti-inflammatory",No major toxicity,images/drumstick.jpg
Calotropis gigantea,Ekka,"Used for skin diseases, wound healing",Skin-related,"Leaves, Latex","Paste, applied externally","Antimicrobial, healing properties",Latex can be toxic if ingested,images/ekka.jpg
Eucalyptus globulus,Eucalyptus,"Treats respiratory issues, relieves pain",Respiratory,"Leaves, Oil","Inhalation, topical use","Antimicrobial, decongestant",Toxic if consumed in large quantities,images/eucalyptus.jpg
Clerodendrum serratum,Ganigale,"Treats asthma, respiratory problems",Respiratory,"Leaves, Roots","Decoction, paste","Bronchodilator, anti-inflammatory",No major toxicity,images/ganigale.jpg
Premna integrifolia,Ganike,"Used for digestive disorders, inflammation","Digestive, Skin-related","Leaves, Bark","Paste, decoction","Anti-inflammatory, detoxifying",No major toxicity,images/ganike.jpg
